area_of_work,campaign_end_date,campaign_start_date,contract_type,country,country_code,description,employer_logo,employer_name,job_end_date,job_level,job_start_date,job_type,listing_type,location,number_of_positions,required_work_experience_months,responsibilities,responsibilities_raw,salary_info,salary_max_cents,salary_max_currency,salary_min_cents,salary_min_currency,styled_flow_url,title,url
"Sales, marketing, promotion",2020-09-11,2020-08-18,Permanent,Kenya,KE,"A leading manufacturer of building and construction products e.g. unique insulation products for roofs and pipes, duct wraps, sealant cords etc. as well as Packaging materials for flowers.Previous working knowledge in the selling of Construction materials to hardwares, construction material stockists, construction material manufacturers or engaging with architects, contractors, project managers, designers, QS etc.University degree or Diploma in sales and marketing or in any related disciplineTrack record of good training in sales &amp; Marketing.Proven track record of good performance in sales demonstrated by achieved targets, awards, and commendations etc., confirmed by immediate direct report",https://s3.amazonaws.com/fuzu.com-carrierwave/employers/4ec5aed7-bebd-4043-ad07-4a9919d08669.png,NFT Consult,,Mid-Level,,Full Time,external,Nairobi,1,24,Very good Networking ability – Good at creating business relationshipsPassionate about selling and commitment to succeedExcellent interpersonal capacitySelf-motivated and the drive to meet targetCapacity to set the bar high and continuously strive to meet new goalsCustomer CentricityCapacity to work independently with very little supervision,"<div><ul style=""""><li style=""""><span style=""""><span style=""""><span style=""""><span style=""""><span style="""">Very good Networking ability – Good at creating business relationships</span></span></span></span></span><br></li><li style=""""><span style=""""><span style=""""><span style=""""><span style=""""><span style="""">Passionate about selling and commitment to succeed</span></span></span></span></span><br></li><li style=""""><span style=""""><span style=""""><span style=""""><span style=""""><span style="""">Excellent interpersonal capacity</span></span></span></span></span><br></li><li style=""""><span style=""""><span style=""""><span style=""""><span style=""""><span style="""">Self-motivated and the drive to meet target</span></span></span></span></span><br></li><li style=""""><span style=""""><span style=""""><span style=""""><span style=""""><span style="""">Capacity to set the bar high and continuously strive to meet new goals</span></span></span></span></span><br></li><li style=""""><span style=""""><span style=""""><span style=""""><span style=""""><span style="""">Customer Centricity</span></span></span></span></span><br></li><li style=""""><span style=""""><span style=""""><span style=""""><span style=""""><span style="""">Capacity to work independently with very little supervision</span></span></span></span></span><br></li></ul></div><p><br></p>",,0,kes,0,kes,http://www.fuzu.com/jobs/sales-representative-construction-materials-nft-consult/cf,Sales Representative-Construction Materials,http://www.fuzu.com/jobs/sales-representative-construction-materials-nft-consult
"Accounting, finance, banking, insurance",2020-09-14,2020-08-18,Permanent,Uganda,UG,"Reporting to the Manager - Finance and Procurement, the position will be responsible for reviewing existing production purchases, record data, recommend new cost-efficient and financially feasible cost options and prepare the cost accounting reports.Academic &amp; Professional Qualification:Bachelor’s degree in Commerce (Accounting/Finance Option), Business Management (Accounting/Finance Option), Economics, or equivalent qualification from a recognized Institution.Qualified accountant (CPA (K), ACCA, or equivalent) are a mandatory requirement.MUST be registered with a professional body such as CPA, ACCA.Knowledge and Experience:3+ years of cost accounting in a busy Manufacturing/FMCG environment.In depth understanding of manufacturing/FMCG processes.Demonstrated professional competence and administrative capability as reflected in work performance and results.Strong financial and accounting knowledge (IFRS).Strong consolidation knowledge and experience.Statutory understanding (companies act and Tax).Financial analysis experience.Good knowledge of any SAP R3 or SYSPRO accounting software.",https://s3.amazonaws.com/fuzu.com-carrierwave/employers/4ec5aed7-bebd-4043-ad07-4a9919d08669.png,NFT Consult,,Mid-Level,,Full Time,external,Kampala,1,36,"Development of pricing models by analyzing changes in product design, raw materials, manufacturing methods or services provided, to determine effects on cost.Analyzing actual manufacturing costs and preparing periodic reports comparing standard costs to actual production costs.Making estimates of new and proposed product costs.Providing management with reports specifying and comparing factors affecting prices and profitability of products or services.Responsible to check and reconcile manufacturing variances and yields analysis and interpretation of cost variances on a monthly basis.Prepare detailed cost reports for manufacturing, identifying key overspends and variances and identifying opportunities of improvementsReview and recalculate raw material, finished goods and other base costs and determine impact to business by applying changes.","<div><ul style=""""><li style=""""><span style=""""><span style=""""><span style=""""><span style="""">Development of pricing models by analyzing changes in product design, raw materials, manufacturing methods or services provided, to determine effects on cost.</span></span></span></span><br></li><li style=""""><span style=""""><span style=""""><span style=""""><span style="""">Analyzing actual manufacturing costs and preparing periodic reports comparing standard costs to actual production costs.</span></span></span></span><br></li><li style=""""><span style=""""><span style=""""><span style=""""><span style="""">Making estimates of new and proposed product costs.</span></span></span></span><br></li><li style=""""><span style=""""><span style=""""><span style=""""><span style="""">Providing management with reports specifying and comparing factors affecting prices and profitability of products or services.</span></span></span></span><br></li><li style=""""><span style=""""><span style=""""><span style=""""><span style="""">Responsible to check and reconcile manufacturing variances and yields analysis and interpretation of cost variances on a monthly basis.</span></span></span></span><br></li><li style=""""><span style=""""><span style=""""><span style=""""><span style="""">Prepare detailed cost reports for manufacturing, identifying key overspends and variances and identifying opportunities of improvements</span></span></span></span><br></li><li style=""""><span style=""""><span style=""""><span style=""""><span style="""">Review and recalculate raw material, finished goods and other base costs and determine impact to business by applying changes.</span></span></span></span><br></li></ul></div><p><br></p>",,0,kes,0,kes,http://www.fuzu.com/jobs/cost-accountant-nft-consult-a355f8ea/cf,Cost Accountant,http://www.fuzu.com/jobs/cost-accountant-nft-consult-a355f8ea
"Sales, marketing, promotion",2020-08-22,2020-08-18,Permanent,Kenya,KE,"The Sales Executive will be responsible for representing the company to the marketplace and in turn, representing the customer to the organization. Client development from both cold and existing prospects is a critical part of the job.Graduate/ Diploma from a reputed university preferably in Marketing/SalesSelf-motivated, energetic individuals with a zeal to excel in the field of sales.A go getter with an attitude to learn and grow3- 5 years’ experience in the field of sales",https://www.fuzu.com/assets/industries-icons/black-pngs/consulting_business.svg.png,Career Directions Ltd,,Mid-Level,,Full Time,external,Nairobi,1,36,"Select solar energy products, systems, or services for customers based on client energy requirements, site conditions, price, or other factors.Provide customers with information, such as quotes, orders, sales, warranties, credit, funding options, incentives etc.Gather information from prospective customers to identify their solar energy needs.Provide technical information about solar power, solar systems, equipment, and services to potential customers or dealers/ distributors.Calculate potential solar resources or solar array production for a particular site considering issues such as climate, shading, and roof orientation.Generate solar energy customer leads to develop new accounts. ","<div><ul style=""""><li style="""">Select solar energy products, systems, or services for customers based on client energy requirements, site conditions, price, or other factors.<br></li><li style="""">Provide customers with information, such as quotes, orders, sales, warranties, credit, funding options, incentives etc.<br></li><li style="""">Gather information from prospective customers to identify their solar energy needs.<br></li><li style="""">Provide technical information about solar power, solar systems, equipment, and services to potential customers or dealers/ distributors.<br></li><li style="""">Calculate potential solar resources or solar array production for a particular site considering issues such as climate, shading, and roof orientation.<br></li><li style="""">Generate solar energy customer leads to develop new accounts.<br></li></ul><p style="""">&nbsp;<br></p></div><p><br></p>",,0,kes,0,kes,http://www.fuzu.com/jobs/solar-sales-rep-career-directions-ltd/cf,Solar Sales Rep,http://www.fuzu.com/jobs/solar-sales-rep-career-directions-ltd
"Information technology, software development, data",2020-09-14,2020-08-18,Permanent,Kenya,KE,"IT Degree EssentialAny of ITIL,MCP/A+/N+/ICDL certification would be desirableExcellent communication skills and telephone manner.Excellent organisational skillsIncident Management experience – Managing incidents including business expectations and communicationBasic User &amp; Security Group Active Directory administrationStrong knowledge of Microsoft based operating systems with emphasis on Windows 7, Windows 10 and MS Office 2016 or Office 365.Experience with using and troubleshooting O365 within a network environment (permissions, calendar sharing, delegation, archiving)You will be a self-motivated achiever who gains satisfaction from providing excellent customer service",https://www.fuzu.com/assets/industries-icons/black-pngs/human_resources.svg.png,Career Directions Ltd,,Mid-Level,,Full Time,external,Nairobi,1,24,"(Products, services, programs and information which the individual must provide to external individuals or groups, or one another to accomplish the organization’s mission and strategy)Central point of contact for phone calls and emails from staff regarding IT issues, queries and requestsLog all calls in the Service Desk Call Logging system1st line support – troubleshooting of IT related problems from in-house software to hardware, such as phones, Laptops, PCs and PrintersGuide customers through problem-solving process (Communicate technical knowledge into actionable processes)Create/Update the knowledge baseInform management of recurring problemsAdvise management on improvements and procedure modificationsReceiving, logging and managing calls from internal staff via telephone and emailMaintaining an Asset Database and track changesTroubleshoot basic network issuesEscalate unresolved calls to the Infrastructure Specialist, IT Service Delivery Manager and Africa IT Service Desk (South Africa) as applicableTake ownership of user problems and follow up the status of problems on behalf of the user and communicate progress in a timely mannerTo maintain a high degree of customer service for all support queries and adhere to all service management principlesProvide basic in-house training in MS Office applications used within MCK (Word, Excel, Outlook, PowerPoint)Provide stats for the weekly Service Desk report on call trendsBasic Active Directory knowledge. Creating user accounts, reset passwords, create groups etc.To arrange for external technical support where problems cannot be resolved in house","<div><p style="""">(Products, services, programs and information which the individual must provide to external individuals or groups, or one another to accomplish the organization’s mission and strategy)<br></p><ul style=""""><li style="""">Central point of contact for phone calls and emails from staff regarding IT issues, queries and requests<br></li><li style="""">Log all calls in the Service Desk Call Logging system<br></li><li style="""">1st line support – troubleshooting of IT related problems from in-house software to hardware, such as phones, Laptops, PCs and Printers<br></li><li style="""">Guide customers through problem-solving process (Communicate technical knowledge into actionable processes)<br></li><li style="""">Create/Update the knowledge base<br></li><li style="""">Inform management of recurring problems<br></li><li style="""">Advise management on improvements and procedure modifications<br></li><li style="""">Receiving, logging and managing calls from internal staff via telephone and email<br></li><li style="""">Maintaining an Asset Database and track changes<br></li><li style="""">Troubleshoot basic network issues<br></li><li style="""">Escalate unresolved calls to the Infrastructure Specialist, IT Service Delivery Manager and Africa IT Service Desk (South Africa) as applicable<br></li><li style="""">Take ownership of user problems and follow up the status of problems on behalf of the user and communicate progress in a timely manner<br></li><li style="""">To maintain a high degree of customer service for all support queries and adhere to all service management principles<br></li><li style="""">Provide basic in-house training in MS Office applications used within MCK (Word, Excel, Outlook, PowerPoint)<br></li><li style="""">Provide stats for the weekly Service Desk report on call trends<br></li><li style="""">Basic Active Directory knowledge. Creating user accounts, reset passwords, create groups etc.<br></li><li style="""">To arrange for external technical support where problems cannot be resolved in house<br></li></ul></div><p><br></p>",,0,kes,0,kes,http://www.fuzu.com/jobs/it-service-desk-administrator-career-directions-ltd/cf,IT Service Desk Administrator,http://www.fuzu.com/jobs/it-service-desk-administrator-career-directions-ltd
"Information technology, software development, data",2020-08-22,2020-08-18,Permanent,Kenya,KE,"Bachelor’s degree in computer science or related information technology degreeAt least 2 years’ experience in software developmentClearly understand the software development life cycleFamiliarity with HTML, CSS, CSS, JavaScriptKnowledge in back end programming language preferably python. Having worked with Django framework for python will be an added advantage.",https://www.fuzu.com/assets/industries-icons/black-pngs/human_resources.svg.png,Career Directions Ltd,,Mid-Level,,Full Time,external,Nairobi,1,24,"Collect user requirements mainly from platform operators and external clientsCome up with database designsDesign user interfacesDevelopment, coding of systems to support in automation of the processes in the platformsImplementation, training and support to platform users and clientsMaintenance of existing and new systems in the platformProvide regular updates to the platform operators and the head of technology","<div><ul style=""""><li style="""">Collect user requirements mainly from platform operators and external clients<br></li><li style="""">Come up with database designs<br></li><li style="""">Design user interfaces<br></li><li style="""">Development, coding of systems to support in automation of the processes in the platforms<br></li><li style="""">Implementation, training and support to platform users and clients<br></li><li style="""">Maintenance of existing and new systems in the platform<br></li><li style="""">Provide regular updates to the platform operators and the head of technology<br></li></ul></div><p><br></p>",,0,kes,0,kes,http://www.fuzu.com/jobs/web-designer-career-directions-ltd/cf,Web Designer,http://www.fuzu.com/jobs/web-designer-career-directions-ltd
Mechanical engineering,2020-09-15,2020-08-18,Permanent,Uganda,UG,Person SpecificationBachelor’s Degree (Hons) in Mechanical Engineering from a recognized institution.At least FIVE (05) years working experience in Government or a reputable organization as an Engineer or its equivalent;REGISTRATION with a professional body (ERB) and Possession of a VALID practicing license.Postgraduate qualification in Mechanical Engineering is an added advantage,https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,National Building Review Board,,Mid-Level,,Full Time,external,Uganda,1,60,"Works with Manager Compliance in developing a robust monitoring system for all Mechanical Engineering installation matters.Assisting Manager Compliance in developing inspection checklists that would be used by Building Control Officers for on-going construction sitesInspect and assess the works of the building Committees to ensure compliance with the Building Control Act, Building Regulations and the CodeEnsuring that accidents related to Mechanical Engineering installations are well investigated and reports prepared;Carry out competence and capacity building of Building Control officersAssist the Manager Compliance in generating the periodic compliance reports.","<ul><li><div>Works with Manager Compliance in developing a robust monitoring system for all Mechanical Engineering installation matters.</br><br></div></li></ul><div><ul><li><div style="""">Assisting Manager Compliance in developing inspection checklists that would be used by Building Control Officers for on-going construction sites</br><br></div></li><li><div style="""">Inspect and assess the works of the building Committees to ensure compliance with the Building Control Act, Building Regulations and the Code</br><br></div></li><li><div style="""">Ensuring that accidents related to Mechanical Engineering installations are well investigated and reports prepared;</br><br></div></li><li><div style="""">Carry out competence and capacity building of Building Control officers</br><br></div></li><li><div style="""">Assist the Manager Compliance in generating the periodic compliance reports.</br><br></div></li></ul></div><p><br></p>",,0,kes,0,kes,http://www.fuzu.com/jobs/building-officer-mechanical-national-building-review-board/cf,Building Officer – Mechanical,http://www.fuzu.com/jobs/building-officer-mechanical-national-building-review-board
"Engineering, architecture",2020-09-15,2020-08-18,Permanent,Uganda,UG,Person Specifications:Bachelor’s Degree (Hons) in Civil/Structural Engineering from a recognized institution.REGISTRATION with a professional body (ERB) and Possession of a VALID practising license is a MUSTAt least FIVE (05) years working experience in Government or a reputable organization as an Engineer or its equivalent;A Postgraduate qualification in Civil/Structural Engineering is an added advantage.,https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,National Building Review Board,,Mid-Level,,Full Time,external,Kampala,1,60,"Working with the Manager Compliance to develop a robust monitoring system for Civil/Structural Engineering matters of buildings.Develop and publish inspection checklists that would be used by both the central and local governments Building Control Officers for on-going construction sitesinspect and assess the works of the building Committees to ensure compliance with the Building Control Act, Building Regulations and the CodeEnsuring that accidents of a Structural/Civil nature are well investigated and reports prepared;Carry out competence and capacity building of Building Control officersAssist the Manager Compliance Monitoring in generating the periodic investigation and compliance reports","<ul><li><div>Working with the Manager Compliance to develop a robust monitoring system for Civil/Structural Engineering matters of buildings.</br><br></div></li></ul><div><ul><li><div style="""">Develop and publish inspection checklists that would be used by both the central and local governments Building Control Officers for on-going construction sites</br><br></div></li><li><div style="""">inspect and assess the works of the building Committees to ensure compliance with the Building Control Act, Building Regulations and the Code</br><br></div></li><li><div style="""">Ensuring that accidents of a Structural/Civil nature are well investigated and reports prepared;</br><br></div></li><li><div style="""">Carry out competence and capacity building of Building Control officers</br><br></div></li><li><div style="""">Assist the Manager Compliance Monitoring in generating the periodic investigation and compliance reports</br><br></div></li></ul></div><p><br></p>",,0,kes,0,kes,http://www.fuzu.com/jobs/building-officer-civil-structural-national-building-review-board/cf,Building Officer – Civil/Structural,http://www.fuzu.com/jobs/building-officer-civil-structural-national-building-review-board
Electrical engineering,2020-09-15,2020-08-18,Permanent,Uganda,UG,Person Specifications:The applicant should ideally be Ugandan holding an Honours Bachelor’s Degree in Electrical Engineering from a recognized institution.Registration with a professional body (ERB) is a MUSTAt least FIVE (05) years working experience in Government or a reputable organization as an Engineer or its equivalent.A Postgraduate qualification in Electrical Engineering or Management is an added advantage.,https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,National Building Review Board,,Mid-Level,,Full Time,external,Kampala,1,60,"Working with the Manager Compliance to develop a robust monitoring and investigation system for all Electrical Engineering installation matters.Develop and publish inspection checklists that would be used by Building Control Officers for on-going construction sitesinspect and assess the works of the building Committees to ensure compliance with the Building Control Act, Building Regulations and the CodeCarry out competence and capacity building of Building Control officersAssist the Manager Compliance Monitoring in generating the periodic compliance reports","<ul><li><div>Working with the Manager Compliance to develop a robust monitoring and investigation system for all Electrical Engineering installation matters.</br><br></div></li></ul><div><ul><li><div style="""">Develop and publish inspection checklists that would be used by Building Control Officers for on-going construction sites</br><br></div></li><li><div style="""">inspect and assess the works of the building Committees to ensure compliance with the Building Control Act, Building Regulations and the Code</br><br></div></li><li><div style="""">Carry out competence and capacity building of Building Control officers</br><br></div></li><li><div style="""">Assist the Manager Compliance Monitoring in generating the periodic compliance reports</br><br></div></li></ul></div><p><br></p>",,0,kes,0,kes,http://www.fuzu.com/jobs/building-officer-electrical-national-building-review-board/cf,Building Officer – Electrical,http://www.fuzu.com/jobs/building-officer-electrical-national-building-review-board
"Engineering, architecture",2020-09-15,2020-08-18,Permanent,Uganda,UG,"Person SpecificationBachelor’s Degree (Hons) in Architecture from a recognized institution.REGISTRATION with a professional body (ARB) and Possession of a VALID practicing license is a MUSTAt least seven (07) years working experience in Government or a reputable organization as an Architect or its equivalent;Postgraduate qualification in Architecture or any other related field.Character and Competencies;Innovative and with a proven high level of integrity.Ability to work independently and in a team.Proven track record of outstanding performance.Excellent interpersonal and communication skills.Possess good administrative and negotiation skills.Track record of training and mentoring others.Excellent research and analytical skills.Proficiency in the relevant computer packages like Microsoft Word, Microsoft Excel and Microsoft Access, among others.",https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,National Building Review Board,,Mid-Level,,Full Time,external,Kampala,1,84,"Working with the Manager Compliance to develop a robust monitoring system for all Architectural matters on buildings.Develop and publish inspection checklists that would be used by both the central and local governments Building Control Officers for on-going construction sites.Inspect and assess the works of the building Committees to ensure compliance with the Building Control Act, Building Regulations and the Code.Ensuring that accidents of architectural nature are well investigated and reports prepared;Carry out competence and capacity building of Building Control officersAssist the Manager Compliance in generating the periodic compliance reportsAny other duties as may be assigned from time to time","<ul><li><div>Working with the Manager Compliance to develop a robust monitoring system for all Architectural matters on buildings.</br><br></div></li></ul><div><ul><li><div style="""">Develop and publish inspection checklists that would be used by both the central and local governments Building Control Officers for on-going construction sites.</br><br></div></li><li><div style="""">Inspect and assess the works of the building Committees to ensure compliance with the Building Control Act, Building Regulations and the Code.</br><br></div></li><li><div style="""">Ensuring that accidents of architectural nature are well investigated and reports prepared;</br><br></div></li><li><div style="""">Carry out competence and capacity building of Building Control officers</br><br></div></li><li><div style="""">Assist the Manager Compliance in generating the periodic compliance reports</br><br></div></li><li><div style="""">Any other duties as may be assigned from time to time</br><br></div></li></ul></div><p><br></p>",,0,kes,0,kes,http://www.fuzu.com/jobs/senior-building-officer-architecture-national-building-review-board/cf,Senior Building Officer – Architecture,http://www.fuzu.com/jobs/senior-building-officer-architecture-national-building-review-board
"Engineering, architecture",2020-08-22,2020-08-18,Permanent,Kenya,KE,"Education/Training: Bachelor Degree in Civil Engineering from a recognized University;Experience: At least 5 years of working experience in construction, roads, and earthworks.",https://www.fuzu.com/assets/industries-icons/black-pngs/construction_renovation.svg.png,Sobetra Construction And Engineering Company,,Mid-Level,,Full Time,external,Kenya,1,60,"As a Site Engineer, you will manage projects, supervise staff and provide technical advice as a subject matter expert. You will be responsible for the preparation of all architectural designs and engineering working drawings within the project, and ensure that the quality of all civil works is within the current and acceptable codes of practice and relevant legal requirements.","<div><span style=""""><span style=""""><span style=""""><span style="""">As a Site Engineer, you will manage projects, supervise staff and provide technical advice as a subject matter expert. You will be responsible for the preparation of all architectural designs and engineering working drawings within the project, and ensure that the quality of all civil works is within the current and acceptable codes of practice and relevant legal requirements.</span></span></span></span><br></div><p><br></p>",,0,kes,0,kes,http://www.fuzu.com/jobs/site-engineer-sobetra-construction-and-engineering-company/cf,Site Engineer,http://www.fuzu.com/jobs/site-engineer-sobetra-construction-and-engineering-company
