campaign_start_date,description,employer_logo,required_work_experience_months,salary_max_currency,salary_min_currency,title,orig_idx,campaign_start_date_year,campaign_start_date_month,campaign_start_date_day,campaign_duration,desc_length,country_code_FI,country_code_GH,country_code_KE,country_code_NG,country_code_UG,country_code_nan,job_level_Entry-Level,job_level_Mid-Level,job_level_Senior,job_level_nan,listing_type_external,listing_type_internal,listing_type_nan,contract_type_Fixed term,contract_type_Permanent,contract_type_Temporary,contract_type_nan,job_type_Full Time,job_type_Part Time,job_type_nan,location_Nairobi,location_Uganda,location_Kampala,location_Trans Nzoia,location_Entebbe,location_Kisumu,location_Kenya,location_Kakuma,location_Nakuru,location_Kakamega,location_Mombasa,location_Machakos,location_Kisii,location_Nigeria,location_Eldoret,location_other,employer_County Government of Trans Nzoia,employer_Insurance Regulatory Authority of Uganda (IRA) ,employer_Petroleum Authority of Uganda,employer_Summit Recruitment & Search,employer_Ministry of Local Government (Uganda),employer_Lake Victoria Fisheries Organization,employer_Mogo Finance Kenya Limited ,employer_Jumia Uganda,employer_National Building Review Board,employer_Sobetra Construction And Engineering Company,employer_Movit Products Limited,employer_VSO Uganda,employer_other,aow_sales,aow_ marketing,aow_ promotion,aow_accounting,aow_ finance,aow_ banking,aow_ insurance,aow_medical
2020-08-18,"A leading manufacturer of building and construction products e.g. unique insulation products for roofs and pipes, duct wraps, sealant cords etc. as well as Packaging materials for flowers.Previous working knowledge in the selling of Construction materials to hardwares, construction material stockists, construction material manufacturers or engaging with architects, contractors, project managers, designers, QS etc.University degree or Diploma in sales and marketing or in any related disciplineTrack record of good training in sales &amp; Marketing.Proven track record of good performance in sales demonstrated by achieved targets, awards, and commendations etc., confirmed by immediate direct report",https://s3.amazonaws.com/fuzu.com-carrierwave/employers/4ec5aed7-bebd-4043-ad07-4a9919d08669.png,24,kes,kes,Sales Representative-Construction Materials,0,2020,8,18,24,703,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
2020-08-18,"Reporting to the Manager - Finance and Procurement, the position will be responsible for reviewing existing production purchases, record data, recommend new cost-efficient and financially feasible cost options and prepare the cost accounting reports.Academic &amp; Professional Qualification:Bachelor’s degree in Commerce (Accounting/Finance Option), Business Management (Accounting/Finance Option), Economics, or equivalent qualification from a recognized Institution.Qualified accountant (CPA (K), ACCA, or equivalent) are a mandatory requirement.MUST be registered with a professional body such as CPA, ACCA.Knowledge and Experience:3+ years of cost accounting in a busy Manufacturing/FMCG environment.In depth understanding of manufacturing/FMCG processes.Demonstrated professional competence and administrative capability as reflected in work performance and results.Strong financial and accounting knowledge (IFRS).Strong consolidation knowledge and experience.Statutory understanding (companies act and Tax).Financial analysis experience.Good knowledge of any SAP R3 or SYSPRO accounting software.",https://s3.amazonaws.com/fuzu.com-carrierwave/employers/4ec5aed7-bebd-4043-ad07-4a9919d08669.png,36,kes,kes,Cost Accountant,1,2020,8,18,27,1104,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
2020-08-18,"The Sales Executive will be responsible for representing the company to the marketplace and in turn, representing the customer to the organization. Client development from both cold and existing prospects is a critical part of the job.Graduate/ Diploma from a reputed university preferably in Marketing/SalesSelf-motivated, energetic individuals with a zeal to excel in the field of sales.A go getter with an attitude to learn and grow3- 5 years’ experience in the field of sales",https://www.fuzu.com/assets/industries-icons/black-pngs/consulting_business.svg.png,36,kes,kes,Solar Sales Rep,2,2020,8,18,4,479,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
2020-08-18,"IT Degree EssentialAny of ITIL,MCP/A+/N+/ICDL certification would be desirableExcellent communication skills and telephone manner.Excellent organisational skillsIncident Management experience – Managing incidents including business expectations and communicationBasic User &amp; Security Group Active Directory administrationStrong knowledge of Microsoft based operating systems with emphasis on Windows 7, Windows 10 and MS Office 2016 or Office 365.Experience with using and troubleshooting O365 within a network environment (permissions, calendar sharing, delegation, archiving)You will be a self-motivated achiever who gains satisfaction from providing excellent customer service",https://www.fuzu.com/assets/industries-icons/black-pngs/human_resources.svg.png,24,kes,kes,IT Service Desk Administrator,3,2020,8,18,27,683,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-08-18,"Bachelor’s degree in computer science or related information technology degreeAt least 2 years’ experience in software developmentClearly understand the software development life cycleFamiliarity with HTML, CSS, CSS, JavaScriptKnowledge in back end programming language preferably python. Having worked with Django framework for python will be an added advantage.",https://www.fuzu.com/assets/industries-icons/black-pngs/human_resources.svg.png,24,kes,kes,Web Designer,4,2020,8,18,4,363,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-08-18,Person SpecificationBachelor’s Degree (Hons) in Mechanical Engineering from a recognized institution.At least FIVE (05) years working experience in Government or a reputable organization as an Engineer or its equivalent;REGISTRATION with a professional body (ERB) and Possession of a VALID practicing license.Postgraduate qualification in Mechanical Engineering is an added advantage,https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,60,kes,kes,Building Officer – Mechanical,5,2020,8,18,28,383,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,Person Specifications:Bachelor’s Degree (Hons) in Civil/Structural Engineering from a recognized institution.REGISTRATION with a professional body (ERB) and Possession of a VALID practising license is a MUSTAt least FIVE (05) years working experience in Government or a reputable organization as an Engineer or its equivalent;A Postgraduate qualification in Civil/Structural Engineering is an added advantage.,https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,60,kes,kes,Building Officer – Civil/Structural,6,2020,8,18,28,409,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,Person Specifications:The applicant should ideally be Ugandan holding an Honours Bachelor’s Degree in Electrical Engineering from a recognized institution.Registration with a professional body (ERB) is a MUSTAt least FIVE (05) years working experience in Government or a reputable organization as an Engineer or its equivalent.A Postgraduate qualification in Electrical Engineering or Management is an added advantage.,https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,60,kes,kes,Building Officer – Electrical,7,2020,8,18,28,418,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,"Person SpecificationBachelor’s Degree (Hons) in Architecture from a recognized institution.REGISTRATION with a professional body (ARB) and Possession of a VALID practicing license is a MUSTAt least seven (07) years working experience in Government or a reputable organization as an Architect or its equivalent;Postgraduate qualification in Architecture or any other related field.Character and Competencies;Innovative and with a proven high level of integrity.Ability to work independently and in a team.Proven track record of outstanding performance.Excellent interpersonal and communication skills.Possess good administrative and negotiation skills.Track record of training and mentoring others.Excellent research and analytical skills.Proficiency in the relevant computer packages like Microsoft Word, Microsoft Excel and Microsoft Access, among others.",https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,84,kes,kes,Senior Building Officer – Architecture,8,2020,8,18,28,856,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,"Education/Training: Bachelor Degree in Civil Engineering from a recognized University;Experience: At least 5 years of working experience in construction, roads, and earthworks.",https://www.fuzu.com/assets/industries-icons/black-pngs/construction_renovation.svg.png,60,kes,kes,Site Engineer,9,2020,8,18,4,176,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,"Person Specifications:Bachelor’s Degree (Hons) in Civil/Structural Engineering from a recognized institution.REGISTRATION with a professional body (ERB) and Possession of a VALID practising license is a MUSTAt least FIVE (05) years working experience, THREE of which should have been in Government or a reputable organization as an Engineer or its equivalent;",https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,60,kes,kes,Investigations Officer – Civil/Structural,10,2020,8,18,28,359,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,"Person SpecificationMust be a member of the Institute of Certified Public Accountants of Uganda and also a member of the Institute of Internal Auditors.A Bachelor’s degree (Hons) in Finance, Economics, Finance and Accounting, Commerce or Business Administration from an internationally recognized institution.At least SEVEN (07) years’ experience in Audit, THREE of which attained in leading an auditing function/department or division in a big organization at a senior management levelExperience in auditing practices and procedures, including all legislation and regulations relevant to the work of Internal Audit.Experience in initiating, managing and maintaining strategic alliances and networks with professional institutions and individual executives",https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,84,kes,kes,Senior Internal Auditor,11,2020,8,18,28,756,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0
2020-08-18,"Person SpecificationMasters’ Degree in Computer Science, Information Technology, Statistics (Computing option), Engineering or related field from a recognized academic institutionA Bachelor’s degree (Hons) in either; Computer Science, Information Technology, Statistics with computing, Computer Engineering, Telecommunications EngineeringProfessional certification such as; ITIL, Cisco and Microsoft courses, Virtualization Certifications and SAN CertificationsAt least FIVE (05) years’ experience, TWO of which must have been at supervisory level managing large corporate networks, mixed protocol environment and Business continuity planning techniquesDemonstrated experience working in a leadership role in an organization/business unit/project with diverse professionals.",https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,60,kes,kes,Senior IT Officer,12,2020,8,18,28,774,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,"Person Specifications:Bachelor’s Degree (Hons) in Mechanical Engineering from a recognized institutionREGISTRATION with a professional body (ERB) and Possession of a VALID practising license is a MUSTAt least SEVEN (07) years working experience, FOUR of which should have been in Government or a reputable organization as an Engineer or its equivalent;A Postgraduate qualification in Electrical Engineering or any other disciplineCharacter and CompetenciesInnovative and with a proven high level of integrityAbility to work independently and in a teamProven track record of outstanding performanceExcellent interpersonal and communication skillsExceptional interview and interrogation skillsTrack record of training mentoring othersKnowledge of the building and construction industry.Advanced mathematical skills, highly developed conceptual, analytical and problem-solving skills in a specialist technical environment.Knowledge of court proceedings, methods of evidence-handling including testifying in court.Ability to read/review, easily understand, interpret and explain complex blueprints and construction designs coupled with the ability to write simple but thorough technical reports.A good eye for detail to ensure accuracy and completeness of all investigative material.Ability to make difficult decisions based purely on evidence.",https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,84,kes,kes,Senior Investigations Officer – Mechanical,13,2020,8,18,28,1340,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,"The Senior Investigation Officer-Electrical is responsible for undertaking or conducting thorough and comprehensive investigations into building-related accidents and building – related environmental complaints or hazards using physical evidence and scientifically sound methods.Person Specifications:Bachelor’s Degree (Hons) in Electrical Engineering from a recognized institution.REGISTRATION with a professional body (ERB) and Possession of a VALID practising license is a MUSTAt least SEVEN (07) years working experience, FOUR of which should have been in Government or a reputable organization as an Engineer or its equivalent;Postgraduate qualification in Electrical Engineering or any other discipline",https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,84,kes,kes,Senior Investigations Officer – Electrical,14,2020,8,18,28,708,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,"Person Specifications:Bachelor’s Degree (Hons) in Civil/Structural Engineering from a recognized institution.REGISTRATION with a professional body (ERB) and Possession of a VALID practicing license is a MUSTAt least SEVEN (07) years working experience, FOUR of which should have been in Government or a reputable organization as an Engineer or its equivalent;Postgraduate qualification in Civil/Structural Engineering or any other related field.Character and CompetenciesInnovative and with a proven high level of integrityAbility to work independently and in a teamProven track record of outstanding performanceExcellent interpersonal and communication skillsExceptional interview and interrogation skillsTrack record of training mentoring othersKnowledge of the building and construction industry.Advanced mathematical skills, highly developed conceptual, analytical and problem-solving skills in a specialist technical environment.Knowledge of court proceedings, methods of evidence-handling including testifying in court.Ability to read/review, easily understand, interpret and explain complex blueprints and construction designs coupled with the ability to write simple but thorough technical reports.A good eye for detail to ensure accuracy and completeness of all investigative material.Ability to make difficult decisions based purely on evidence.",https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,84,kes,kes,Senior Investigations Officer – Structural/Civil,15,2020,8,18,28,1355,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,Person Specifications:Master’s degree in Law from a recognized UniversityBachelor of Laws Degree (Hons) from a recognized University.Registration with a professional body is a MUST.A Postgraduate diploma in legal practice from LDCMust be enrolled as an advocate for at least 5 yearsAt least SEVEN (07) years’ experience in a similar or relevant organization preferably in the construction industry or regulatory environment.Demonstrated experience in working in a leadership role in a similar organisationDemonstrated experience in liaising with other Government institutions and stakeholders,https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,84,kes,kes,Senior Legal officer,16,2020,8,18,28,592,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,"Person Specifications:Master’s degree in Architecture, Civil/Structural Engineering, Electrical Engineering or any other related discipline from a recognized University.Hons Bachelor’s degree in Architecture, Civil/Structural Engineering, Electrical Engineering or Mechanical Engineering from a recognized University.REGISTRATION with a professional body and possession of a VALID practising license is a MUST.At least ten (10) years’ relevant working experience, SEVEN of which should have been in a reputable, busy and organized institution.Demonstrated experience in working in a leadership role in an organization/business unit/project with diverse professionals.",https://www.fuzu.com/assets/industries-icons/black-pngs/governmental.svg.png,120,kes,kes,Manager Investigations,17,2020,8,18,28,667,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
